k,P[u<k],G(k)
-0.60,0.27425311775007355,0.7686727322417556
-0.59,0.2775953247534648,0.7614319578825621
-0.58,0.2809573088985643,0.7542247046612133
-0.57,0.28433884904632406,0.7470511692477876
-0.56,0.28773971884902705,0.7399115460748975
-0.55,0.29115968678834625,0.7328060272857937
-0.54,0.294598516215698,0.7257348026828565
-0.53,0.29805596539487633,0.7186980596765074
-0.52,0.3015317875469662,0.7116959832345522
-0.51,0.30502573089751933,0.704728755831991
-0.50,0.3085375387259869,0.6977965574013061
-0.49,0.31206694941739044,0.6908995652832586
-0.48,0.31561369651622256,0.6840379541782102
-0.47,0.3191775087825558,0.6772118960979997
-0.46,0.32275811025034773,0.6704215603183847
-0.45,0.32635522028791997,0.6636671133320841
-0.44,0.32996855366059363,0.656948718802431
-0.43,0.3335978205954576,0.6502665375176668
-0.42,0.3372427268482495,0.643620727345889
-0.41,0.34090297377232254,0.6370114431906839
-0.40,0.3445782583896757,0.6304388369474532
-0.39,0.34826827346401756,0.6239030574604656
-0.38,0.3519727075758371,0.6174042504806481
-0.37,0.3556912451994532,0.6109425586241358
-0.36,0.3594235667820086,0.6045181213316055
-0.35,0.3631693488243809,0.5981310748284047
-0.34,0.3669282639639718,0.5917815520855036
-0.33,0.37069998105934643,0.5854696827812804
-0.32,0.3744841652766798,0.5791955932641644
-0.31,0.3782804781779807,0.572959406516151
-0.30,0.38208857781104727,0.5667612421172101
-0.29,0.38590811880112263,0.5606012162105984
-0.28,0.3897387524442027,0.5544794414691019
-0.27,0.3935801268019605,0.5483960270622135
-0.26,0.3974318867982394,0.542351078624274
-0.25,0.4012936743170763,0.5363446982235802
-0.24,0.4051651283022041,0.5303769843324853
-0.23,0.40904588485799415,0.5244480317984972
-0.22,0.4129355773517853,0.5185579318163978
-0.21,0.41683383651755773,0.5127067719013872
-0.20,0.4207402905608969,0.5068946358632767
-0.19,0.42465456526520456,0.5011216037817322
-0.18,0.4285762840990992,0.4953877519825911
-0.17,0.4325050683249616,0.4896931530152537
-0.16,0.4364405371085671,0.4840378756311702
-0.15,0.44038230762975733,0.4784219847634255
-0.14,0.44432999519409355,0.47284554150743824
-0.13,0.44828321334543875,0.46730860310278055
-0.12,0.4522415739794161,0.4618112229161262
-0.11,0.45620468745768306,0.45635345042534087
-0.10,0.46017216272297096,0.45093533120471474
-0.09,0.46414360741482774,0.445556906911354
-0.08,0.4681186279860126,0.4402182152727279
-0.07,0.47209682981947876,0.43491929007538765
-0.06,0.4760778173458931,0.4296601611548534
-0.05,0.4800611941616274,0.42444085438668283
-0.04,0.4840465631471692,0.4192613916787183
-0.03,0.4880335265858873,0.4141217909645233
-0.02,0.492021686283098,0.4090220661980042
-0.01,0.4960106436853683,0.4039622273492286
0.00,0.5,0.3989422804014327
0.01,0.5039893563146315,0.3939622273492286
0.02,0.5079783137169018,0.3890220661980044
0.03,0.5119664734141127,0.38412179096452304
0.04,0.5159534368528308,0.37926139167871825
0.05,0.5199388058383724,0.37444085438668273
0.06,0.5239221826541067,0.36966016115485356
0.07,0.5279031701805212,0.36491929007538737
0.08,0.5318813720139874,0.36021821527272785
0.09,0.535856392585172,0.3555569069113539
0.10,0.5398278372770289,0.3509353312047149
0.11,0.5437953125423166,0.34635345042534094
0.12,0.5477584260205839,0.3418112229161261
0.13,0.5517167866545611,0.3373086031027804
0.14,0.5556700048059063,0.33284554150743834
0.15,0.5596176923702423,0.32842198476342555
0.16,0.5635594628914329,0.32403787563117004
0.17,0.5674949316750384,0.31969315301525375
0.18,0.5714237159009006,0.31538775198259117
